"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2258","[AQAPRACT-526] Register with min Password length (8 characters)","chromium","Fri Oct 03 07:05:42 UTC 2025","passed","Fri Oct 03 07:05:45 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","2049","[AQAPRACT-570] Edit with invalid email formats","chromium","Fri Oct 03 07:06:09 UTC 2025","passed","Fri Oct 03 07:06:11 UTC 2025","Edit Email Suite","userProfile/emailEdit.spec.ts","",""
"","2280","[AQAPRACT-576] Select a type from the type drop-down list","chromium","Fri Oct 03 07:05:57 UTC 2025","passed","Fri Oct 03 07:05:59 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","2478","[AQAPRACT-555] Close ""Edit personal information"" flyout by ""X"" button","chromium","Fri Oct 03 07:07:16 UTC 2025","passed","Fri Oct 03 07:07:18 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","2528","[AQAPRACT-572] Search for existing course","chromium","Fri Oct 03 07:05:53 UTC 2025","passed","Fri Oct 03 07:05:56 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","2184","[AQAPRACT-545] Validation of ""User profile"" page layout","chromium","Fri Oct 03 07:07:13 UTC 2025","passed","Fri Oct 03 07:07:15 UTC 2025","User Profile Suite","userProfile/userProfile.spec.ts","",""
"","2013","[AQAPRACT-553] Cancel editing the data on the flyout (after the data is edited)","chromium","Fri Oct 03 07:07:14 UTC 2025","passed","Fri Oct 03 07:07:16 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","6291","AQAPRACT-511 Register with max+1 First name length (256 characters)","chromium","Fri Oct 03 07:05:18 UTC 2025","failed","Fri Oct 03 07:05:24 UTC 2025","First name Suite","registration/firstname.spec.ts","",""
"","1325","[AQAPRACT-521] The date is filled in manually in the ""Date of birth"" field","chromium","Fri Oct 03 07:04:57 UTC 2025","passed","Fri Oct 03 07:04:59 UTC 2025","Date of Birth Suite","registration/dateOfBirth.spec.ts","",""
"","30052","[AQAPRACT-522] It`s impossible to register with the ""date of birth"" in the future","chromium","Fri Oct 03 07:06:00 UTC 2025","broken","Fri Oct 03 07:06:30 UTC 2025","Date of Birth Suite","registration/dateOfBirth.spec.ts","",""
"","2025","[AQAPRACT-554] Cancel editing the data on the flyout (without editing)","chromium","Fri Oct 03 07:07:15 UTC 2025","passed","Fri Oct 03 07:07:17 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","6504","AQAPRACT-513 Register with spaces in First name field","chromium","Fri Oct 03 07:05:35 UTC 2025","failed","Fri Oct 03 07:05:41 UTC 2025","First name Suite","registration/firstname.spec.ts","",""
"","3282","[AQAPRACT-557] Edit the ""First name"" with 1 character length","chromium","Fri Oct 03 07:06:13 UTC 2025","passed","Fri Oct 03 07:06:16 UTC 2025","Edit Profile ""First name""","userProfile/firstnameEdit.spec.ts","",""
"","1724","[AQAPRACT-748] Month dropdown is possible to be opened","chromium","Fri Oct 03 07:04:53 UTC 2025","passed","Fri Oct 03 07:04:54 UTC 2025","Calendar Suite","registration/calendar.spec.ts","",""
"","3358","[AQAPRACT-552] Edit ""Date of Birth"" on User profile flyout","chromium","Fri Oct 03 07:07:10 UTC 2025","passed","Fri Oct 03 07:07:14 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","1973","[AQAPRACT-547] ""AQA Practice"" dropdown options validation","chromium","Fri Oct 03 07:07:06 UTC 2025","passed","Fri Oct 03 07:07:08 UTC 2025","User Profile Suite","userProfile/userProfile.spec.ts","",""
"","1128","[AQAPRACT-541] Validation of ""Password"" on min length (8 characters)","chromium","Fri Oct 03 07:05:52 UTC 2025","passed","Fri Oct 03 07:05:53 UTC 2025","Sign In Suite: Password","signIn/signIn.spec.ts","",""
"","1245","[AQAPRACT-532] Register with different data in Password and Confirm password fields","chromium","Fri Oct 03 07:05:49 UTC 2025","passed","Fri Oct 03 07:05:51 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","2461","[AQAPRACT-569] Edit with empty ""Email"" field","chromium","Fri Oct 03 07:06:06 UTC 2025","passed","Fri Oct 03 07:06:09 UTC 2025","Edit Email Suite","userProfile/emailEdit.spec.ts","",""
"","2056","[AQAPRACT-551] Edit ""Email"" on User profile flyout","chromium","Fri Oct 03 07:07:16 UTC 2025","failed","Fri Oct 03 07:07:18 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","7140","[AQAPRACT-564] Edit the ""Last name"" with 256 character length","chromium","Fri Oct 03 07:06:55 UTC 2025","failed","Fri Oct 03 07:07:02 UTC 2025","Edit Profile ""Lastname""","userProfile/lastnameEdit.spec.ts","",""
"","2062","[AQAPRACT-556] Leave ""First name"" empty","chromium","Fri Oct 03 07:06:11 UTC 2025","passed","Fri Oct 03 07:06:13 UTC 2025","Edit Profile ""First name""","userProfile/firstnameEdit.spec.ts","",""
"","6346","[AQAPRACT-750] The date is possible to be selected","chromium","Fri Oct 03 07:05:11 UTC 2025","failed","Fri Oct 03 07:05:17 UTC 2025","Calendar Suite","registration/calendar.spec.ts","",""
"","2239","[AQAPRACT-567] The elements on the calendar picker are available","chromium","Fri Oct 03 07:06:02 UTC 2025","passed","Fri Oct 03 07:06:04 UTC 2025","Edit Date of Birth Suite","userProfile/dateOfBirthEdit.spec.ts","",""
"","1452","[AQAPRACT-529] Register with max+1 Password length (21 characters)","chromium","Fri Oct 03 07:05:48 UTC 2025","passed","Fri Oct 03 07:05:50 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","1122","[AQAPRACT-539] Validation of empty ""Email"" field on ""Sign in"" page","chromium","Fri Oct 03 07:05:51 UTC 2025","passed","Fri Oct 03 07:05:52 UTC 2025","Sign In Suite: Email Address","signIn/signIn.spec.ts","",""
"","1128","[AQAPRACT-543] Validation of ""Password"" on 7 characters","chromium","Fri Oct 03 07:05:52 UTC 2025","passed","Fri Oct 03 07:05:53 UTC 2025","Sign In Suite: Password","signIn/signIn.spec.ts","",""
"","2180","[AQAPRACT-514] Register with max Last name length (255 characters)","chromium","Fri Oct 03 07:05:21 UTC 2025","passed","Fri Oct 03 07:05:23 UTC 2025","Last name Suite","registration/lastname.spec.ts","",""
"","2465","[AQAPRACT-566] Edit the date with empty ""Date of birth"" field","chromium","Fri Oct 03 07:05:59 UTC 2025","passed","Fri Oct 03 07:06:02 UTC 2025","Edit Date of Birth Suite","userProfile/dateOfBirthEdit.spec.ts","",""
"","1175","[AQAPRACT-542] Validation of ""Password"" on max length (20 characters)","chromium","Fri Oct 03 07:05:52 UTC 2025","passed","Fri Oct 03 07:05:53 UTC 2025","Sign In Suite: Password","signIn/signIn.spec.ts","",""
"","7217","[AQAPRACT-565] Edit the ""Last name"" field with spaces","chromium","Fri Oct 03 07:06:58 UTC 2025","failed","Fri Oct 03 07:07:05 UTC 2025","Edit Profile ""Lastname""","userProfile/lastnameEdit.spec.ts","",""
"","2232","[AQAPRACT-531] Register with equal data Password and Confirm password fields","chromium","Fri Oct 03 07:05:50 UTC 2025","passed","Fri Oct 03 07:05:52 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","6407","[AQAPRACT-518] Register with spaces in Last name field","chromium","Fri Oct 03 07:05:42 UTC 2025","failed","Fri Oct 03 07:05:49 UTC 2025","Last name Suite","registration/lastname.spec.ts","",""
"","1423","[AQAPRACT-530] Register with empty Password field","chromium","Fri Oct 03 07:05:48 UTC 2025","passed","Fri Oct 03 07:05:49 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","7566","[AQAPRACT-560] Edit the ""First name"" field with spaces","chromium","Fri Oct 03 07:06:47 UTC 2025","failed","Fri Oct 03 07:06:54 UTC 2025","Edit Profile ""First name""","userProfile/firstnameEdit.spec.ts","",""
"","6552","[AQAPRACT-516] Register with max+1 Last name length (256 characters)","chromium","Fri Oct 03 07:05:41 UTC 2025","failed","Fri Oct 03 07:05:47 UTC 2025","Last name Suite","registration/lastname.spec.ts","",""
"","2599","[AQAPRACT-573] Search for a non-existent course","chromium","Fri Oct 03 07:05:54 UTC 2025","passed","Fri Oct 03 07:05:57 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","30037","[AQAPRACT-581] Select a course from the Select courses list","chromium","Fri Oct 03 07:07:00 UTC 2025","broken","Fri Oct 03 07:07:30 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","2500","[AQAPRACT-550] Edit ""Last name"" on User profile flyout","chromium","Fri Oct 03 07:07:08 UTC 2025","passed","Fri Oct 03 07:07:10 UTC 2025","Edit Profile Suite","userProfile/userProfile.spec.ts","",""
"","2289","[AQAPRACT-546] Successful Sign Out","chromium","Fri Oct 03 07:07:03 UTC 2025","passed","Fri Oct 03 07:07:05 UTC 2025","User Profile Suite","userProfile/userProfile.spec.ts","",""
"","2269","[AQAPRACT-574] Select country from drop-down list","chromium","Fri Oct 03 07:05:56 UTC 2025","passed","Fri Oct 03 07:05:58 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","1332","[AQAPRACT-524] Register with invalid format of email address","chromium","Fri Oct 03 07:04:59 UTC 2025","passed","Fri Oct 03 07:05:00 UTC 2025","Email Suite","registration/email.spec.ts","",""
"","2154","[AQAPRACT-517] Register with empty Last name field","chromium","Fri Oct 03 07:05:25 UTC 2025","passed","Fri Oct 03 07:05:27 UTC 2025","Last name Suite","registration/lastname.spec.ts","",""
"","1848","[AQAPRACT-747] Year is possible to be selected","chromium","Fri Oct 03 07:04:53 UTC 2025","passed","Fri Oct 03 07:04:55 UTC 2025","Calendar Suite","registration/calendar.spec.ts","",""
"","1552","[AQAPRACT-519] Register with empty ""Date of birth"" field","chromium","Fri Oct 03 07:04:56 UTC 2025","passed","Fri Oct 03 07:04:58 UTC 2025","Date of Birth Suite","registration/dateOfBirth.spec.ts","",""
"","2316","[AQAPRACT-571] Validation element in Select course page","chromium","Fri Oct 03 07:05:53 UTC 2025","passed","Fri Oct 03 07:05:56 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","1357","[AQAPRACT-523] Register with empty ""Email"" field","chromium","Fri Oct 03 07:04:58 UTC 2025","passed","Fri Oct 03 07:04:59 UTC 2025","Email Suite","registration/email.spec.ts","",""
"","2110","AQAPRACT-509 Register with max First name length (255 characters)","chromium","Fri Oct 03 07:05:00 UTC 2025","passed","Fri Oct 03 07:05:02 UTC 2025","First name Suite","registration/firstname.spec.ts","",""
"","1245","AQAPRACT-512 Register with empty First name field","chromium","Fri Oct 03 07:05:18 UTC 2025","passed","Fri Oct 03 07:05:19 UTC 2025","First name Suite","registration/firstname.spec.ts","",""
"","2158","[AQAPRACT-515] Register with min Last name length (1 character)","chromium","Fri Oct 03 07:05:23 UTC 2025","passed","Fri Oct 03 07:05:25 UTC 2025","Last name Suite","registration/lastname.spec.ts","",""
"","2306","[AQAPRACT-558] Edit the ""First name"" with 255 character length","chromium","Fri Oct 03 07:06:16 UTC 2025","passed","Fri Oct 03 07:06:19 UTC 2025","Edit Profile ""First name""","userProfile/firstnameEdit.spec.ts","",""
"","7067","[AQAPRACT-559] Edit the ""First name"" with 256 character length","chromium","Fri Oct 03 07:06:34 UTC 2025","failed","Fri Oct 03 07:06:41 UTC 2025","Edit Profile ""First name""","userProfile/firstnameEdit.spec.ts","",""
"","1387","[AQAPRACT-533] Register with empty Confirm password field","chromium","Fri Oct 03 07:05:50 UTC 2025","passed","Fri Oct 03 07:05:51 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","1161","[AQAPRACT-540] Validation of empty Password field on sign in page","chromium","Fri Oct 03 07:05:51 UTC 2025","passed","Fri Oct 03 07:05:52 UTC 2025","Sign In Suite: Password","signIn/signIn.spec.ts","",""
"","2417","[AQAPRACT-563] Edit the ""Last name"" with 255 character length","chromium","Fri Oct 03 07:06:37 UTC 2025","passed","Fri Oct 03 07:06:39 UTC 2025","Edit Profile ""Lastname""","userProfile/lastnameEdit.spec.ts","",""
"","2876","[AQAPRACT-582] Multiselection for course from the Select courses list","chromium","Fri Oct 03 07:06:29 UTC 2025","passed","Fri Oct 03 07:06:32 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","2196","[AQAPRACT-575] Select a language from thelanguage drop-down list","chromium","Fri Oct 03 07:05:56 UTC 2025","passed","Fri Oct 03 07:05:58 UTC 2025","AQA Practice - Select Suite","userProfile/AQA Prac/selectPrac.spec.ts","",""
"","1980","[AQAPRACT-746] Year drop down is possible to be opened","chromium","Fri Oct 03 07:04:53 UTC 2025","passed","Fri Oct 03 07:04:55 UTC 2025","Calendar Suite","registration/calendar.spec.ts","",""
"","1265","[AQAPRACT-528] Register with min-1 Password length (7 characters)","chromium","Fri Oct 03 07:05:47 UTC 2025","passed","Fri Oct 03 07:05:48 UTC 2025","Password Suite","registration/password.spec.ts","",""
"","6337","[AQAPRAC-525] Register with already existed email","chromium","Fri Oct 03 07:05:13 UTC 2025","failed","Fri Oct 03 07:05:20 UTC 2025","Email Suite","registration/email.spec.ts","",""
"","2482","[AQAPRACT-561] Leave ""Last name"" empty","chromium","Fri Oct 03 07:06:32 UTC 2025","passed","Fri Oct 03 07:06:35 UTC 2025","Edit Profile ""Lastname""","userProfile/lastnameEdit.spec.ts","",""
"","1072","[AQAPRACT-544] Validation of ""Password"" on 21 chacacters","chromium","Fri Oct 03 07:05:53 UTC 2025","passed","Fri Oct 03 07:05:54 UTC 2025","Sign In Suite: Password","signIn/signIn.spec.ts","",""
